AX,AY,AZ,GX,GY,GZ,Result
0.0,0.0,0.0,-0.13,-0.01,-0.03,1
0.0,0.0,0.0,-0.07,-0.2,-0.09,1
0.0,0.0,0.0,-0.1,-0.2,-0.16,1
0.0,0.0,0.0,-0.02,-0.22,-0.1,1
0.0,0.0,0.0,-0.0,-0.29,-0.0,1
0.0,0.0,0.0,0.13,-0.21,0.15,1
0.0,0.0,0.0,0.19,0.21,0.15,1
0.0,0.0,0.0,0.03,0.39,-0.07,1
0.0,0.0,0.0,0.03,0.02,-0.49,1
0.0,0.0,0.0,0.09,0.16,-0.76,1
0.0,0.0,0.0,0.11,0.38,-0.84,1
0.0,0.0,0.0,0.2,0.3,-0.53,1
-2.13,-2.77,-4.67,0.22,0.4,-0.5,1
0.0,0.0,0.0,-0.14,0.7,-0.21,1
-2.36,-0.17,-3.48,-0.21,0.05,-0.17,1
