AX,AY,AZ,GX,GY,GZ,Result
-0.49,1.81,8.38,0.6,0.47,-0.73,1
2.02,7.89,5.35,1.82,0.42,-0.37,1
5.92,18.99,2.15,2.68,0.96,-0.11,1
8.49,18.08,-5.98,2.26,0.86,-0.03,1
4.16,19.83,-1.79,1.45,1.91,0.67,1
5.86,20.14,7.35,2.34,1.52,1.0,1
5.24,15.67,8.7,2.97,1.69,2.55,1
6.05,12.26,4.87,2.27,0.59,2.23,1
7.46,5.57,0.67,1.99,-0.33,1.34,1
2.82,-7.8,-1.95,0.97,-0.66,1.87,1
4.26,-1.7,4.01,-0.92,-0.27,-0.34,1
3.61,-2.52,0.61,0.75,-0.23,-1.31,1
3.39,0.91,-1.1,0.59,0.47,-1.34,1
9.05,9.68,-2.2,-1.49,0.34,-2.01,1
12.01,19.15,5.56,-1.73,-0.05,-1.52,1
9.19,38.19,-4.01,-1.32,-0.46,-2.09,1
7.0,17.25,-3.31,-2.5,-0.1,-1.0,1
8.45,14.9,-1.93,-2.42,-0.08,0.76,1
10.54,16.69,-2.53,-2.29,0.31,0.4,1
7.66,11.29,1.28,-2.43,0.6,0.03,1
5.33,8.7,4.49,-1.55,0.59,0.04,1
-0.45,0.39,5.41,0.03,0.22,1.25,1
10.69,1.32,6.62,-1.52,0.87,0.79,1
-1.67,2.0,7.92,0.41,-0.51,-0.45,1
-0.09,1.5,4.86,1.11,0.11,-0.59,1
4.76,5.93,5.11,1.49,0.49,-0.06,1
9.72,15.97,5.19,2.71,0.51,0.77,1
9.49,15.24,1.9,2.39,0.08,0.84,1
9.53,17.7,1.44,2.61,0.88,0.84,1
6.22,16.84,9.03,3.06,0.83,1.78,1
6.32,15.99,8.33,2.45,0.42,2.78,1
6.87,8.73,1.28,0.92,-1.02,1.52,1
3.16,-0.01,-1.46,1.3,-0.63,1.56,1
3.0,-8.58,-1.64,-0.04,-0.97,0.71,1
3.48,1.03,1.4,0.36,1.0,-0.3,1
2.3,-2.58,0.16,1.5,0.01,-1.14,1
6.17,2.56,-1.64,0.36,0.44,-2.21,1
9.26,15.0,-0.77,-0.5,0.21,-2.38,1
5.02,22.07,5.91,-1.8,-0.74,-1.35,1
7.57,23.17,3.89,-1.02,-0.23,-0.0,1
8.95,22.01,-3.13,-2.13,-0.17,-0.82,1
12.19,14.36,-2.3,-2.4,-0.57,0.19,1
6.29,11.19,-0.71,-3.8,-0.36,-0.28,1
2.72,10.58,2.88,-2.52,0.71,0.48,1
-3.74,7.06,5.34,-0.95,0.95,1.45,1
1.21,-5.71,10.05,0.63,0.36,1.96,1
6.19,-0.66,7.02,-0.34,-1.41,-1.11,1
3.98,0.52,7.9,0.74,-0.8,-0.53,1
2.18,8.16,4.0,2.11,0.37,-0.37,1
6.75,15.56,-0.5,3.05,0.56,0.33,1
7.24,18.17,-3.24,1.52,0.99,-0.34,1
8.15,22.33,0.64,2.15,1.72,1.39,1
9.52,15.74,6.28,2.52,1.09,1.6,1
7.16,17.84,8.21,2.28,0.84,2.13,1
